;yA_X;yB_X;yC_X;t;yA_Y;yB_Y;yC_Y;t+dt;sim_number
0;0.10437575432984841;0.0;0.8956242456701515;0.0;0.104368792048141;4.6539870047167286e-07;0.8956307425531583;1.0;0
1;0.10437567856403027;7.576276192909287e-08;0.8956242456732078;2.103196996696874e-05;0.10436879191149753;4.6539869979252295e-07;0.8956307426898025;1.000021031969967;0
2;0.10437561481089883;1.3950505402495673e-07;0.8956242456840471;4.206393993393748e-05;0.10436879177485406;4.65398699113373e-07;0.8956307428264466;1.000042063939934;0
3;0.10437527622757853;4.772436534318557e-07;0.8956242465287682;0.0002523836396036249;0.10436879040841941;4.653986923218735e-07;0.8956307441928881;1.0002523836396036;0
4;0.10437525721294454;4.948829462574243e-07;0.895624247904109;0.0004627033392733123;0.10436878904198475;4.6539868553037404e-07;0.8956307455593295;1.0004627033392732;0
5;0.10437528312565507;4.675383565847681e-07;0.8956242493359882;0.0006730230389429997;0.10436878767555009;4.6539867873887456e-07;0.8956307469257709;1.000673023038943;0
6;0.10437527534674389;4.630652569818744e-07;0.895624261587999;0.0025569032295554325;0.10436877543609187;4.6539861790590765e-07;0.89563075916529;1.0025569032295554;0
7;0.10437526094540091;4.6523031104138265e-07;0.8956242738242879;0.004440783420167865;0.10436876319663363;4.6539855707294074e-07;0.8956307714048091;1.0044407834201678;0
8;0.10437513832495325;4.654525554960511e-07;0.895624396222491;0.023279585326292193;0.1043686408020513;4.6539794874327156e-07;0.8956308937999997;1.0232795853262922;0
9;0.10437501592384826;4.654300341855408e-07;0.8956245186461175;0.042118387232416524;0.10436851840746897;4.653973404136024e-07;0.8956310161951905;1.0421183872324165;0
10;0.10437379167687334;4.654235246703454e-07;0.8956257428996018;0.23050640629365982;0.10436729446164565;4.6539125711691074e-07;0.8956322401470971;1.2305064062936597;0
11;0.10437256745670749;4.6541746513429507e-07;0.8956269671258272;0.4188944253549031;0.10436607051582235;4.6538517382021903e-07;0.8956334640990037;1.4188944253549032;0
12;0.10436032799847436;4.653566321673784e-07;0.8956392066448934;2.302774615967336;0.10435383271776597;4.6532434993372686e-07;0.8956457019578838;3.302774615967336;0
13;0.10434809166781535;4.652958163068935e-07;0.8956514430363681;4.186654806579769;0.10434161093361848;4.6526361115291803e-07;0.8956579238027702;5.186654806579769;0
14;0.10422600240007428;4.646891097907928e-07;0.8957735329108156;23.0254567127041;0.10421953816271617;4.6465699517053413e-07;0.8957799971802886;24.0254567127041;0
15;0.10410422391301052;4.6408410882145047e-07;0.8958953120028805;41.86425861882843;0.10409790046965325;4.640527406189532e-07;0.8959016354776059;42.86425861882843;0
16;0.10291296294529202;4.581747152914766e-07;0.8970865788799933;230.25227768007176;0.1029067171896645;4.5814377129908884e-07;0.8970928246665649;231.25227768007176;0
17;0.10175081829754229;4.524243100254839e-07;0.8982487292781492;418.64029674131507;0.10174468317795299;4.52393968814907e-07;0.8982548644280799;419.64029674131507;0
18;0.09527661885140158;4.20649969422486e-07;0.9047229604986319;1551.5538422725258;0.09527126896328356;4.2062387465469875e-07;0.9047283104128447;1552.5538422725258;0
19;0.0896281679938927;3.932941780736614e-07;0.9103714387119355;2684.4673878037365;0.08962350611759343;3.9327174311036066e-07;0.9103761006106698;2685.4673878037365;0
20;0.08466677736617488;3.695410949543531e-07;0.9153328530927421;3817.3809333349473;0.08466269668849292;3.695217067357684e-07;0.9153369337898124;3818.3809333349473;0
21;0.07369310238705017;3.178940467294386e-07;0.9263065797189382;6957.3029628760805;0.07369013476513633;3.178802707932958e-07;0.926309547354628;6958.3029628760805;0
22;0.06566200259984899;2.8085040432491047e-07;0.9343377165498331;10000.0;0.0656597613542918;2.8084015143963793e-07;0.9343399578056434;10001.0;0
23;0.7388237336601953;0.0;0.26117626633980473;0.0;0.7358107902267402;1.000576522783541e-05;0.26417920400803396;1.0;1
24;0.7388233351834427;3.9842090787077014e-07;0.26117626639564945;1.3896404967754364e-05;0.7358107488091904;1.0005763459977183e-05;0.2641792454273517;1.0000138964049679;1
25;0.7388229503905227;7.829894299357972e-07;0.26117626662004734;2.7792809935508727e-05;0.7358107073916405;1.0005761692118958e-05;0.26417928684666947;1.0000277928099355;1
26;0.7388200099407477;3.6761069346221802e-06;0.26117631395231766;0.00016675685961305237;0.7358102932161416;1.0005744013536695e-05;0.26417970103984695;1.000166756859613;1
27;0.7388178388917896;5.725593535886237e-06;0.2611764355146745;0.00030572090929059605;0.7358098790406427;1.0005726334954431e-05;0.2641801152330244;1.0003057209092905;1
28;0.738812815142728;9.685200725167061e-06;0.2611774996565465;0.0008210200618450635;0.7358083432169237;1.0005660780169005e-05;0.26418165112229824;1.000821020061845;1
29;0.7388106493084091;1.0268185090406628e-05;0.2611790825065002;0.001336319214399531;0.7358068073932046;1.000559522538358e-05;0.26418318701157206;1.0013363192143996;1
30;0.7388091070089835;1.0123917895098709e-05;0.2611807690731211;0.0018516183669539986;0.7358052715694856;1.0005529670598153e-05;0.2641847229008459;1.001851618366954;1
31;0.7388055084361853;1.0111276266410615e-05;0.26118438028754815;0.0030051096015912653;0.7358018336457298;1.000538292696389e-05;0.26418816097134523;1.0030051096015913;1
32;0.7388019294252757;1.01277462638254e-05;0.2611879428284603;0.004158600836228532;0.7357983957219741;1.000523618332963e-05;0.2641915990418445;1.0041586008362284;1
33;0.738766576489703;1.0141789135875735e-05;0.26122328172116105;0.015693513182601197;0.7357640164844171;1.0003768746987018e-05;0.2642259797468379;1.0156935131826013;1
